frequency,magnitude
0.000000,83324.7381
0.000005,80.5473
0.000011,36.5046
0.000016,5.5204
0.000022,7.7039
0.000027,8.2833
0.000033,8.2205
0.000054,3.172
0.000065,1.1028
0.000087,2.521
0.000130,6.9242
0.000152,9.1317
0.000174,4.4493
0.000217,2.2863
0.000223,1.6683
0.000228,5.195
0.000255,2.4382
0.000288,1.2853
0.000304,1.6279
0.000315,7.0257
0.000337,8.4106
0.000359,4.5038
0.000364,2.098
0.000386,5.61
0.000402,2.6033
0.000446,10.9296
0.000478,8.3467
0.000511,14.0954
0.000538,1.1183
0.000543,2.2721
0.000560,5.4178
0.000576,5.5886
0.000609,4.7753
0.000641,9.4876
0.000652,4.4959
0.000663,2.6557
0.000674,2.4985
0.000701,5.2253
0.000717,1.8099
0.000739,13.1673
0.000750,1.8194
0.000755,1.6041
0.000761,2.094
0.000766,2.1942
0.000777,4.385
0.000783,6.0112
0.000788,5.8405
0.000826,3.9593
0.000832,1.1872
0.000837,3.6106
0.000859,7.1339
0.000870,7.3293
0.000891,3.7138
0.000935,8.0035
0.000951,2.2528
0.000967,8.3206
0.000978,1.8425
0.001000,8.5278
0.001033,7.7444
0.001071,1.2721
0.001076,0.8599
0.001087,3.35
0.001109,6.242
0.001114,5.438
0.001130,1.3856
0.001163,4.866
0.001196,5.5505
0.001228,1.6155
0.001245,0.8596
0.001261,6.3246
0.001283,9.7926
0.001310,2.2211
0.001315,1.562
0.001326,4.9787
0.001370,2.279
0.001402,6.5584
0.001424,2.2253
0.001440,8.6773
0.001467,5.1391
0.001495,0.6622
0.001511,1.8014
0.001543,7.3252
0.001576,5.491
0.001603,8.9389
0.001630,4.436
0.001641,2.338
0.001647,0.6834
0.001674,1.5919
0.001696,10.8112
0.001707,6.8818
0.001728,9.5833
0.001750,6.1261
0.001772,2.3511
0.001793,5.1917
0.001815,1.0986
0.001832,17.5015
0.001859,4.3358
0.001880,9.3924
0.001897,2.0089
0.001913,15.3006
0.001924,13.3842
0.001935,2.5937
0.001940,2.3597
0.001962,19.2617
0.001967,19.1956
0.001978,21.1404
0.002000,4.9479
0.002005,1.909
0.002022,3.5016
0.002049,2.3827
0.002065,7.4824
0.002076,3.0942
