frequency,magnitude
0.000000,335885.4884
0.000005,82.8186
0.000011,34.8745
0.000016,5.3416
0.000038,6.5336
0.000057,2.1342
0.000128,5.6605
0.000196,1.6586
0.000207,8.367
0.000223,1.2229
0.000236,7.8519
0.000253,1.1253
0.000312,5.2795
0.000364,1.3994
0.000380,7.0376
0.000402,1.452
0.000414,7.6224
0.000438,3.0796
0.000544,7.5637
0.000592,1.7554
0.000640,5.7327
0.000671,1.7719
0.000715,6.6894
0.000750,2.4522
0.000755,0.5721
0.000887,5.8018
0.000951,0.9595
0.001017,5.4254
0.001092,1.1125
0.001139,4.1549
0.001217,1.8925
0.001223,5.2726
0.001228,0.5349
0.001269,4.2984
0.001310,1.4349
0.001315,0.3563
0.001323,3.5446
0.001332,0.4531
0.001345,3.3136
0.001359,1.3773
0.001421,5.3157
0.001495,1.4893
0.001513,5.4213
0.001530,1.9519
0.001542,6.2331
0.001557,2.0955
0.001565,6.1667
0.001571,1.4673
0.001590,5.9146
0.001614,1.1868
0.001626,5.265
0.001640,1.2748
0.001660,3.9588
0.001677,1.5817
0.001721,5.5828
0.001815,1.6104
0.001848,9.503
0.001897,1.8917
0.001952,12.1932
0.002003,3.6112
0.002020,9.6179
0.002049,2.1606
0.002131,9.2402
0.002212,2.9344
0.002253,12.1616
0.002280,4.4112
0.002304,15.0766
0.002351,3.7241
0.002367,13.2954
0.002380,2.8257
0.002390,12.3117
0.002402,4.4483
0.002408,29.4337
0.002413,5.4407
0.002418,14.8075
0.002424,2.3664
0.002483,17.8137
0.002533,3.3277
0.002542,11.43
0.002554,1.0258
0.002577,16.1512
0.002592,3.4553
0.002606,15.96
0.002620,0.4891
0.002645,10.4534
0.002674,27.1205
0.002679,1.6984
0.002692,16.1802
0.002701,1.3264
0.002771,15.6753
0.002842,4.0321
0.002901,14.1518
0.002984,34.1254
0.002992,12.0736
0.003000,29.8663
0.003005,2.6208
0.003027,19.1677
0.003060,7.1038
0.003068,25.1353
0.003076,6.3977
0.003094,19.4438
