unit,volts
0.0,1.6019
0.00025,1.6044
0.0005,1.6121
0.00075,1.6019
0.001,1.6044
0.00125,1.6044
0.0015,1.5994
0.00175,1.6121
0.002,1.6044
0.00225,1.607
0.0025,1.6121
0.00275,1.5968
0.003,1.6044
0.00325,1.6121
0.0035,1.5994
0.00375,1.6044
0.004,1.6044
0.00425,1.5994
0.0045,1.6044
0.00475,1.6121
0.005,1.5994
0.00525,1.6019
0.0055,1.6019
0.00575,1.5968
0.006,1.6044
0.00625,1.6044
0.0065,1.5994
0.00675,1.6019
0.007,1.6044
0.00725,1.6019
0.0075,1.6044
0.00775,1.5994
0.008,1.6044
0.00825,1.6121
0.0085,1.5994
0.00875,1.607
0.009,1.6121
0.00925,1.5994
0.0095,1.6044
0.00975,1.6044
0.01,1.5968
0.01025,1.6121
0.0105,1.607
0.01075,1.607
0.011,1.6121
0.01125,1.6044
0.0115,1.5994
0.01175,1.607
0.012,1.607
0.01225,1.6019
0.0125,1.6095
0.01275,1.5994
0.013,1.6019
0.01325,1.6044
0.0135,1.6019
0.01375,1.6044
0.014,1.6044
0.01425,1.5994
0.0145,1.607
0.01475,1.6121
0.015,1.5968
0.01525,1.6044
0.0155,1.6121
0.01575,1.6044
0.016,1.6044
0.01625,1.6095
0.0165,1.6044
0.01675,1.5994
0.017,1.6095
0.01725,1.6044
0.0175,1.5968
0.01775,1.6121
0.018,1.6044
0.01825,1.6019
0.0185,1.6121
0.01875,1.6019
0.019,1.607
0.01925,1.6121
0.0195,1.6044
0.01975,1.607
0.02,1.6121
0.02025,1.607
0.0205,1.607
0.02075,1.6121
0.021,1.6019
0.02125,1.6019
0.0215,1.6121
0.02175,1.6044
0.022,1.607
0.02225,1.6121
0.0225,1.6044
0.02275,1.6044
0.023,1.6121
0.02325,1.5994
0.0235,1.6121
0.02375,1.607
0.024,1.5994
0.02425,1.6121
0.0245,1.6044
0.02475,1.5994
0.025,1.6121
0.02525,1.6044
0.0255,1.607
0.02575,1.6121
0.026,1.5994
0.02625,1.607
0.0265,1.6146
0.02675,1.607
0.027,1.6044
0.02725,1.6121
0.0275,1.6044
0.02775,1.6044
0.028,1.6044
0.02825,1.6019
0.0285,1.607
0.02875,1.607
0.029,1.5968
0.02925,1.6121
0.0295,1.6044
0.02975,1.6019
0.03,1.6121
0.03025,1.607
0.0305,1.607
0.03075,1.6121
0.031,1.5994
0.03125,1.607
0.0315,1.6121
0.03175,1.5994
0.032,1.6044
0.03225,1.6121
0.0325,1.6044
0.03275,1.607
0.033,1.6044
0.03325,1.5994
0.0335,1.607
0.03375,1.607
0.034,1.607
0.03425,1.6121
0.0345,1.607
0.03475,1.6044
0.035,1.6146
0.03525,1.607
0.0355,1.6044
0.03575,1.6121
0.036,1.5994
0.03625,1.607
0.0365,1.6121
0.03675,1.6019
0.037,1.6146
0.03725,1.607
0.0375,1.6019
0.03775,1.6019
0.038,1.607
0.03825,1.6019
0.0385,1.6121
0.03875,1.6044
0.039,1.607
0.03925,1.6121
0.0395,1.6044
0.03975,1.6044
0.04,1.6121
0.04025,1.6019
0.0405,1.6044
0.04075,1.607
0.041,1.5994
0.04125,1.6044
0.0415,1.6044
0.04175,1.6044
0.042,1.6121
0.04225,1.6095
0.0425,1.607
0.04275,1.6121
0.043,1.6044
0.04325,1.6044
0.0435,1.6044
0.04375,1.6019
0.044,1.607
0.04425,1.607
0.0445,1.5968
0.04475,1.6121
0.045,1.607
0.04525,1.607
0.0455,1.6121
0.04575,1.6044
0.046,1.6019
0.04625,1.6121
0.0465,1.5968
0.04675,1.607
0.047,1.6121
0.04725,1.6019
0.0475,1.6044
0.04775,1.6044
0.048,1.6019
0.04825,1.6044
0.0485,1.6044
0.04875,1.5994
0.049,1.6121
